u,v,w
0,1,9
1,0,6
0,10,1
10,0,8
1,2,3
2,1,1
1,11,9
11,1,2
2,3,2
3,2,6
2,12,6
12,2,7
3,4,3
4,3,7
3,13,1
13,3,7
4,5,1
5,4,3
4,14,10
14,4,1
5,6,9
6,5,5
5,15,7
15,5,7
6,7,9
7,6,5
6,16,6
16,6,6
7,8,1
8,7,5
7,17,9
17,7,10
8,9,3
9,8,7
8,18,8
18,8,4
9,19,9
19,9,10
10,11,10
11,10,8
10,20,6
20,10,7
11,12,4
12,11,5
11,21,2
21,11,1
12,13,9
13,12,6
12,22,7
22,12,3
13,14,9
14,13,9
13,23,5
23,13,4
14,15,2
15,14,9
14,24,9
24,14,5
15,16,9
16,15,6
15,25,3
25,15,1
16,17,1
17,16,9
16,26,10
26,16,5
17,18,4
18,17,5
17,27,7
27,17,9
18,19,2
19,18,1
18,28,6
28,18,5
19,29,9
29,19,6
20,21,2
21,20,1
20,30,2
30,20,8
21,22,5
22,21,10
21,31,1
31,21,8
22,23,6
23,22,4
22,32,10
32,22,10
23,24,9
24,23,10
23,33,4
33,23,6
24,25,5
25,24,5
24,34,10
34,24,3
25,26,7
26,25,9
25,35,4
35,25,2
26,27,6
27,26,9
26,36,10
36,26,4
27,28,6
28,27,8
27,37,2
37,27,3
28,29,7
29,28,7
28,38,2
38,28,2
29,39,1
39,29,7
30,31,3
31,30,8
30,40,4
40,30,8
31,32,2
32,31,6
31,41,9
41,31,7
32,33,10
33,32,9
32,42,9
42,32,7
33,34,5
34,33,10
33,43,8
43,33,7
34,35,8
35,34,8
34,44,7
44,34,3
35,36,3
36,35,9
35,45,3
45,35,8
36,37,8
37,36,3
36,46,9
46,36,9
37,38,2
38,37,4
37,47,8
47,37,8
38,39,1
39,38,3
38,48,9
48,38,6
39,49,2
49,39,10
40,41,7
41,40,2
40,50,2
50,40,6
41,42,10
42,41,5
41,51,1
51,41,9
42,43,3
43,42,2
42,52,6
52,42,5
43,44,6
44,43,5
43,53,5
53,43,8
44,45,1
45,44,3
44,54,3
54,44,10
45,46,7
46,45,1
45,55,5
55,45,5
46,47,4
47,46,3
46,56,8
56,46,1
47,48,2
48,47,9
47,57,6
57,47,2
48,49,1
49,48,7
48,58,8
58,48,10
49,59,5
59,49,10
50,51,8
51,50,6
50,60,7
60,50,8
51,52,10
52,51,3
51,61,3
61,51,9
52,53,8
53,52,8
52,62,8
62,52,3
53,54,6
54,53,2
53,63,10
63,53,10
54,55,7
55,54,7
54,64,4
64,54,7
55,56,6
56,55,9
55,65,1
65,55,8
56,57,5
57,56,2
56,66,3
66,56,1
57,58,10
58,57,5
57,67,9
67,57,2
58,59,9
59,58,2
58,68,4
68,58,10
59,69,9
69,59,10
60,61,1
61,60,10
60,70,9
70,60,4
61,62,8
62,61,9
61,71,1
71,61,2
62,63,9
63,62,3
62,72,1
72,62,5
63,64,4
64,63,4
63,73,10
73,63,8
64,65,2
65,64,9
64,74,10
74,64,6
65,66,7
66,65,10
65,75,1
75,65,8
66,67,1
67,66,6
66,76,7
76,66,3
67,68,7
68,67,1
67,77,9
77,67,6
68,69,7
69,68,5
68,78,2
78,68,2
69,79,2
79,69,9
70,71,3
71,70,5
70,80,3
80,70,3
71,72,5
72,71,2
71,81,3
81,71,5
72,73,7
73,72,3
72,82,1
82,72,10
73,74,6
74,73,3
73,83,1
83,73,1
74,75,5
75,74,7
74,84,2
84,74,6
75,76,3
76,75,7
75,85,6
85,75,5
76,77,7
77,76,2
76,86,1
86,76,4
77,78,4
78,77,10
77,87,10
87,77,4
78,79,8
79,78,9
78,88,9
88,78,7
79,89,2
89,79,5
80,81,1
81,80,6
80,90,8
90,80,9
81,82,7
82,81,2
81,91,8
91,81,1
82,83,7
83,82,4
82,92,1
92,82,5
83,84,9
84,83,10
83,93,2
93,83,4
84,85,9
85,84,3
84,94,5
94,84,10
85,86,7
86,85,8
85,95,2
95,85,9
86,87,4
87,86,3
86,96,6
96,86,9
87,88,3
88,87,4
87,97,9
97,87,7
88,89,9
89,88,8
88,98,1
98,88,1
89,99,8
99,89,10
90,91,5
91,90,3
91,92,1
92,91,1
92,93,8
93,92,5
93,94,10
94,93,5
94,95,7
95,94,6
95,96,4
96,95,10
96,97,9
97,96,5
97,98,1
98,97,3
98,99,9
99,98,10
