u,v,w
0,1,8
1,0,10
0,8,5
8,0,6
1,2,3
2,1,4
1,9,3
9,1,2
2,3,10
3,2,5
2,10,2
10,2,7
3,4,9
4,3,1
3,11,1
11,3,7
4,5,2
5,4,1
4,12,3
12,4,8
5,6,8
6,5,7
5,13,10
13,5,8
6,7,5
7,6,10
6,14,10
14,6,6
7,15,7
15,7,5
8,9,2
9,8,3
8,16,3
16,8,1
9,10,4
10,9,2
9,17,1
17,9,4
10,11,1
11,10,4
10,18,8
18,10,3
11,12,4
12,11,7
11,19,9
19,11,4
12,13,2
13,12,5
12,20,8
20,12,3
13,14,8
14,13,7
13,21,1
21,13,2
14,15,3
15,14,3
14,22,8
22,14,8
15,23,8
23,15,1
16,17,8
17,16,10
16,24,4
24,16,4
17,18,5
18,17,10
17,25,7
25,17,1
18,19,6
19,18,1
18,26,2
26,18,7
19,20,7
20,19,8
19,27,10
27,19,10
20,21,9
21,20,5
20,28,1
28,20,8
21,22,7
22,21,8
21,29,9
29,21,10
22,23,10
23,22,8
22,30,4
30,22,1
23,31,9
31,23,1
24,25,7
25,24,10
24,32,6
32,24,9
25,26,2
26,25,5
25,33,7
33,25,8
26,27,2
27,26,8
26,34,10
34,26,6
27,28,8
28,27,7
27,35,1
35,27,3
28,29,5
29,28,4
28,36,8
36,28,6
29,30,8
30,29,4
29,37,9
37,29,4
30,31,10
31,30,6
30,38,10
38,30,8
31,39,3
39,31,5
32,33,7
33,32,7
32,40,6
40,32,8
33,34,3
34,33,10
33,41,4
41,33,5
34,35,2
35,34,8
34,42,3
42,34,3
35,36,4
36,35,3
35,43,10
43,35,8
36,37,2
37,36,7
36,44,8
44,36,5
37,38,4
38,37,4
37,45,9
45,37,1
38,39,1
39,38,6
38,46,5
46,38,6
39,47,3
47,39,3
40,41,9
41,40,1
40,48,2
48,40,6
41,42,7
42,41,2
41,49,10
49,41,4
42,43,2
43,42,9
42,50,4
50,42,8
43,44,5
44,43,6
43,51,6
51,43,1
44,45,9
45,44,5
44,52,3
52,44,9
45,46,10
46,45,2
45,53,1
53,45,8
46,47,8
47,46,2
46,54,2
54,46,10
47,55,10
55,47,2
48,49,9
49,48,1
48,56,9
56,48,2
49,50,3
50,49,2
49,57,4
57,49,6
50,51,3
51,50,5
50,58,8
58,50,9
51,52,8
52,51,2
51,59,3
59,51,6
52,53,6
53,52,3
52,60,2
60,52,4
53,54,8
54,53,7
53,61,1
61,53,4
54,55,8
55,54,6
54,62,5
62,54,9
55,63,3
63,55,2
56,57,5
57,56,6
57,58,7
58,57,6
58,59,4
59,58,3
59,60,9
60,59,7
60,61,4
61,60,3
61,62,7
62,61,7
62,63,7
63,62,8
