u,v,w
13,1,2
65,63,8
72,31,8
35,16,5
52,23,3
31,94,1
12,92,8
98,82,7
93,58,5
42,82,2
92,77,6
6,34,7
91,23,1
64,82,3
27,61,4
51,48,7
31,18,2
31,6,9
52,38,5
40,61,6
73,66,3
61,74,7
6,37,7
51,64,1
99,33,8
47,53,9
54,68,7
52,19,5
52,83,8
66,56,2
71,15,5
10,5,10
97,40,4
36,68,1
9,38,3
59,7,9
54,65,6
17,13,10
58,30,4
92,88,1
77,65,3
63,17,9
72,30,10
59,34,4
59,68,6
50,67,3
50,47,6
11,51,2
96,42,7
28,17,8
42,91,8
68,64,7
62,23,9
25,73,9
48,35,7
17,81,5
42,38,1
72,86,4
42,38,10
23,87,9
33,93,6
81,1,3
74,45,1
70,11,10
35,79,10
52,86,8
30,70,6
51,58,10
96,91,7
12,87,3
13,37,7
11,50,9
40,30,8
47,59,9
71,59,5
61,31,7
3,93,8
38,90,3
91,10,6
32,0,4
89,68,10
2,67,5
7,71,10
83,99,10
71,89,5
17,38,6
24,79,9
58,13,3
99,36,7
60,30,4
91,40,6
58,47,1
44,16,9
56,83,5
21,17,9
24,2,8
60,34,1
38,28,5
77,18,6
0,39,8
63,80,9
67,80,10
48,23,9
10,87,9
5,72,4
10,34,3
57,22,8
22,40,1
86,77,10
70,60,1
92,71,4
22,13,2
28,57,6
54,44,2
60,94,1
87,48,3
26,75,3
92,2,7
82,69,9
44,19,5
90,26,8
25,68,5
4,9,1
67,19,4
58,21,6
98,79,5
92,82,8
70,52,1
46,13,2
72,77,2
71,92,5
15,22,9
11,87,6
98,11,10
9,87,5
97,4,2
44,39,6
46,70,10
32,25,9
56,53,8
8,39,7
32,45,5
88,62,4
12,67,1
41,78,6
10,67,8
3,81,5
76,41,7
46,97,5
5,51,1
6,36,8
5,9,4
96,36,6
76,83,8
46,70,5
69,4,6
65,71,2
33,49,4
1,27,9
40,82,2
42,29,7
41,31,1
58,72,1
87,96,10
73,9,3
65,52,2
84,48,2
38,0,7
69,72,1
13,55,3
38,20,3
81,75,3
38,87,2
33,83,6
4,1,5
14,3,3
60,96,9
23,55,8
3,11,6
47,42,2
91,42,8
88,30,1
67,40,7
23,17,8
1,37,7
61,40,3
90,28,6
37,5,5
94,18,1
4,84,7
95,66,9
68,62,10
88,7,3
82,7,9
52,88,4
87,31,1
84,66,4
24,92,2
21,84,10
88,64,3
69,7,2
13,16,2
92,73,1
9,57,10
31,89,10
64,7,2
51,56,4
65,59,8
50,10,6
20,41,10
74,61,3
61,9,6
69,45,5
94,22,7
76,78,4
81,10,2
22,53,3
75,74,3
4,50,8
70,69,5
77,88,4
37,88,2
40,73,10
15,25,3
52,64,10
36,82,1
63,66,7
28,81,4
60,4,5
47,78,4
29,31,8
39,33,6
50,44,3
55,23,10
30,63,1
95,96,8
5,4,3
47,48,8
2,0,9
27,24,2
84,61,9
46,65,4
58,68,6
71,63,1
53,74,5
58,26,9
30,26,2
61,84,8
57,76,1
72,71,4
35,53,5
33,28,9
16,78,2
31,32,4
50,59,10
70,83,6
87,26,10
52,53,9
15,16,2
62,11,9
39,63,1
29,27,10
31,89,4
98,31,6
25,77,9
0,70,3
88,90,8
37,19,4
12,76,1
49,86,9
38,60,1
87,64,5
73,31,6
99,48,3
42,49,3
8,21,7
97,51,6
29,68,1
64,89,7
59,26,6
66,58,3
66,36,2
57,7,8
32,31,8
98,73,7
40,53,3
31,35,9
85,44,2
51,16,6
90,26,7
55,83,10
5,72,7
9,72,2
9,49,9
77,98,10
48,91,3
94,88,8
47,40,7
33,70,10
76,50,6
42,56,6
8,90,3
95,61,4
46,14,10
94,43,5
57,97,9
30,32,3
98,16,7
23,95,5
43,64,9
39,20,7
97,20,8
57,59,9
78,61,4
83,35,4
19,21,6
14,42,3
37,82,5
78,68,2
76,60,5
42,79,7
94,49,6
78,53,4
15,34,8
22,78,7
21,82,10
38,58,2
17,80,4
17,83,6
19,58,10
92,40,4
16,65,7
59,86,9
91,92,8
94,38,10
97,0,7
98,86,6
20,50,10
88,92,2
17,34,5
86,69,7
94,75,4
66,19,5
67,52,7
74,9,1
57,47,2
31,91,2
44,3,8
61,44,8
6,12,7
17,64,5
27,78,5
57,62,4
78,98,1
10,14,3
29,93,10
69,27,1
85,15,8
68,36,1
90,17,9
82,42,10
71,46,3
61,83,4
73,89,2
33,83,4
96,2,5
10,63,7
34,63,3
45,70,7
97,75,9
29,9,6
93,28,1
67,90,6
98,36,4
72,5,1
91,54,7
32,97,8
74,88,10
49,99,2
7,70,9
42,36,8
30,38,3
73,29,1
68,92,4
74,92,7
64,95,6
85,27,4
26,71,6
25,75,9
48,40,3
36,15,10
50,40,5
88,15,5
44,82,7
21,20,6
79,81,1
79,81,10
57,96,5
67,17,7
15,17,2
