u,v,w
22,19,4
29,26,10
35,8,4
39,41,9
24,2,8
38,27,6
49,27,4
32,31,5
2,15,8
12,9,1
30,47,3
46,20,7
22,41,9
27,37,10
26,1,3
43,19,4
16,13,6
35,9,7
15,10,3
6,47,9
48,28,10
17,2,1
35,38,6
13,43,5
0,29,10
39,47,3
38,32,2
20,42,2
40,16,3
42,5,5
18,10,8
4,49,5
38,13,6
25,35,1
39,36,5
41,20,8
49,35,7
31,25,4
29,3,9
0,7,2
9,41,1
17,10,2
14,1,4
48,49,2
15,16,7
12,45,7
43,47,3
23,27,2
8,42,5
43,46,4
25,43,9
21,5,4
29,20,2
16,2,7
35,28,3
42,21,10
9,17,5
4,15,6
42,6,6
26,42,10
47,28,9
34,45,5
8,29,9
42,47,4
15,7,8
34,13,9
0,33,9
39,49,2
21,1,2
16,8,6
36,33,6
19,18,4
45,27,9
19,42,7
46,32,7
47,30,8
16,2,2
24,36,4
2,23,10
8,16,2
46,19,9
16,11,10
23,2,6
2,39,2
47,21,7
8,2,5
44,9,9
13,43,4
36,6,2
19,42,2
25,21,5
43,13,9
26,42,7
32,42,10
0,42,9
14,12,8
21,49,3
3,5,7
11,44,9
20,25,5
