u,v,w
18,12,6
29,19,4
26,27,4
7,23,2
9,22,5
9,14,1
13,3,2
27,25,9
19,21,4
6,2,9
2,4,5
10,19,3
9,15,2
27,20,3
26,28,5
11,21,9
1,12,5
16,29,5
4,7,8
28,11,9
0,5,5
9,11,6
2,19,7
22,11,4
25,28,10
20,21,5
26,5,5
5,2,8
8,21,1
23,4,7
7,27,6
15,29,10
10,24,3
19,2,4
23,13,3
27,21,9
15,0,10
4,17,5
20,3,1
16,13,10
14,16,4
2,15,5
6,3,8
21,27,1
16,3,2
8,0,10
28,25,8
20,13,5
17,28,6
29,22,5
29,14,1
16,18,2
23,4,2
28,9,9
0,26,7
1,4,7
1,18,6
7,20,4
25,3,8
28,17,6
29,19,8
14,27,5
25,10,4
19,20,10
0,8,3
28,13,2
20,2,6
17,22,6
3,14,6
10,19,7
12,19,9
13,18,3
13,21,2
28,0,1
13,4,4
18,11,10
10,25,1
20,2,8
2,28,2
4,12,8
20,13,2
12,10,8
1,15,7
3,21,4
20,8,8
27,21,1
4,1,1
2,4,4
6,18,4
19,1,9
15,22,8
3,7,7
3,21,6
19,0,1
21,23,5
2,21,4
15,14,6
24,25,4
11,18,5
29,9,6
3,7,9
13,8,1
6,4,9
27,17,1
4,0,6
21,25,3
19,8,3
27,21,7
25,9,6
26,15,10
4,25,10
11,2,7
9,25,8
29,26,8
25,5,2
14,5,5
19,25,6
6,12,8
0,8,9
7,18,6
