u,v,w
9,12,1
41,57,10
51,41,9
28,3,3
8,0,2
15,41,5
0,45,9
0,26,5
25,32,6
15,10,8
34,51,1
55,5,6
49,27,4
46,31,1
42,31,9
30,45,6
46,12,6
44,59,10
2,4,5
28,48,10
4,34,8
53,10,10
13,42,3
25,47,3
48,21,3
20,7,10
33,2,5
6,7,8
45,28,9
0,18,6
41,31,2
0,21,2
7,50,3
12,32,8
54,46,3
2,26,1
49,22,10
24,38,6
27,42,9
11,59,2
56,1,10
59,20,3
25,39,4
16,21,10
32,58,6
54,27,7
52,19,1
58,42,6
59,1,8
25,31,9
59,35,10
31,48,2
22,30,8
47,7,10
22,19,8
1,30,1
23,51,3
26,47,2
19,7,1
11,21,2
35,46,1
59,13,9
24,39,6
45,24,7
31,13,8
0,25,4
35,15,4
46,31,5
46,12,1
37,38,8
39,53,5
30,14,4
46,4,6
31,55,10
55,42,4
34,10,9
34,21,9
59,27,10
55,19,2
54,38,3
10,12,4
4,57,4
7,19,1
44,52,2
11,56,1
39,56,6
10,4,9
51,6,5
50,44,10
48,13,2
31,51,3
50,2,4
44,2,10
17,59,9
47,34,4
40,57,4
25,9,7
5,20,9
0,2,10
17,9,8
24,27,9
26,16,10
6,8,3
0,47,9
31,40,2
56,39,4
39,18,6
50,55,6
11,29,10
26,28,2
45,54,6
6,33,5
3,40,2
0,36,8
17,43,6
40,23,2
18,23,8
49,52,5
42,0,2
12,20,6
37,30,8
39,22,3
50,51,8
1,22,6
33,55,7
1,56,8
15,47,1
54,46,2
44,9,8
14,40,3
54,34,9
5,27,7
54,38,7
29,31,1
22,26,1
41,53,7
43,53,8
18,26,9
46,49,8
2,15,9
5,0,8
7,11,10
7,0,10
21,3,5
16,10,9
33,28,7
43,1,6
18,38,1
18,49,1
18,57,5
31,20,10
24,27,4
43,23,3
46,50,9
47,59,1
9,20,8
15,20,7
12,5,7
47,59,10
47,48,10
29,12,5
48,47,4
16,33,10
31,32,2
25,51,4
16,3,6
43,54,8
47,32,2
45,54,10
11,54,7
12,20,1
45,4,9
25,16,10
27,38,6
48,40,1
53,33,6
14,59,2
6,34,10
6,37,6
3,22,3
51,58,6
12,54,2
38,6,10
42,1,7
27,50,7
31,5,8
5,27,2
18,34,8
46,57,7
10,54,9
5,8,7
23,27,4
21,53,10
7,0,5
31,59,6
44,20,8
43,42,2
23,8,8
15,20,2
48,8,8
8,2,10
37,3,8
9,45,5
13,46,8
36,55,3
38,14,4
1,29,8
26,5,8
1,21,4
47,52,2
11,12,5
17,1,8
34,8,6
12,23,1
7,15,7
21,52,4
31,55,4
13,19,8
44,39,8
13,52,5
51,47,10
59,27,4
3,14,3
8,25,7
28,31,4
32,43,7
45,27,2
55,11,10
0,31,4
29,9,4
42,15,4
29,31,9
32,4,6
57,44,9
23,11,9
12,57,8
19,25,2
41,37,7
10,15,9
48,24,2
5,25,9
4,6,10
21,25,10
20,35,2
59,34,3
25,0,1
6,13,3
47,59,9
22,52,3
5,37,1
48,36,3
29,45,10
47,9,8
47,20,8
21,17,5
14,24,7
3,21,1
20,51,1
14,5,3
33,20,7
26,38,9
15,35,3
23,34,6
26,19,5
45,34,9
1,54,5
30,55,3
7,49,4
27,38,5
27,7,8
58,59,7
38,40,2
31,24,2
49,24,4
39,2,6
33,13,4
2,36,8
43,38,4
13,33,5
48,23,5
28,12,4
9,49,2
54,48,5
23,11,4
30,40,5
59,22,6
52,51,8
29,11,7
37,10,10
10,45,8
7,41,5
5,44,8
49,28,1
13,34,6
17,0,7
18,15,2
8,21,4
19,28,8
14,1,1
20,35,6
56,18,10
54,10,5
22,10,1
47,32,5
30,24,2
9,3,7
14,47,4
18,10,9
50,9,1
38,5,3
31,4,10
24,22,4
25,7,4
58,28,5
7,40,8
2,47,3
4,36,5
59,10,9
47,4,9
56,37,1
1,39,2
42,34,7
20,54,6
55,33,6
28,34,5
57,10,6
39,3,2
29,56,1
44,43,4
58,44,4
22,51,10
