u,v,w
16,0,1
1,6,6
0,3,3
15,11,7
18,8,2
5,14,6
12,9,1
4,6,7
18,13,7
4,12,2
14,1,3
3,0,3
0,2,4
14,18,7
19,2,9
5,13,7
10,2,5
8,14,3
15,10,1
4,2,9
3,7,8
10,8,2
8,13,7
9,13,4
10,0,7
7,16,7
0,19,4
0,8,4
3,18,2
13,5,10
13,19,3
7,12,3
9,1,5
1,14,5
19,16,4
15,8,6
11,1,8
17,11,4
15,13,8
5,14,10
18,11,2
6,13,4
8,2,6
11,14,8
8,15,9
8,17,6
4,8,2
7,4,1
9,3,4
7,2,4
3,5,6
4,2,4
10,3,1
17,8,10
2,16,4
6,5,5
4,6,4
4,7,3
18,0,4
13,3,8
3,4,7
5,10,8
2,14,6
11,2,8
4,9,3
17,13,8
15,5,2
3,7,5
19,7,5
18,4,10
10,3,3
17,19,3
10,12,6
10,18,1
5,11,6
4,7,5
1,3,8
1,18,6
8,2,1
0,10,7
6,15,2
12,16,5
5,1,7
2,17,7
11,2,10
18,12,7
17,5,6
17,11,1
12,2,9
4,5,1
1,3,1
1,13,3
3,4,2
17,6,7
2,3,1
4,3,3
9,19,10
15,0,7
8,18,2
10,19,7
14,9,8
15,14,9
10,2,9
18,3,9
14,19,3
2,7,7
18,11,10
0,10,2
18,0,10
14,4,2
12,0,4
15,9,3
2,3,3
0,13,4
9,10,9
13,11,9
3,14,8
10,11,5
15,4,10
10,13,2
0,11,6
8,5,6
19,12,10
2,7,9
14,11,10
6,12,9
1,9,3
4,12,10
0,15,3
4,17,6
5,17,3
16,14,1
11,16,9
7,17,5
15,6,9
18,3,4
8,3,2
4,16,7
17,1,8
16,1,3
7,15,7
10,14,5
4,12,3
8,16,2
2,4,6
6,4,7
13,0,4
1,9,5
14,17,9
11,13,6
0,7,1
5,8,2
7,3,8
6,14,2
9,6,9
12,2,8
5,9,10
16,13,7
5,0,7
14,2,2
9,7,7
8,2,5
18,5,6
16,15,7
3,11,6
4,18,2
7,9,5
19,14,4
11,12,9
10,7,7
15,13,9
5,15,9
7,16,1
2,3,2
1,19,10
15,17,9
19,1,6
12,18,2
0,5,8
17,13,4
6,8,2
4,18,4
0,18,2
14,0,6
1,7,2
6,9,10
19,9,1
3,7,4
0,1,4
15,1,3
5,15,2
18,8,9
7,16,3
1,8,3
13,4,8
9,19,4
13,5,6
3,18,7
11,14,2
16,7,7
